,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
08-16-2017,ottv,dolv,bvtk,omvs,amfe,onci,drys,icnb,nwbo,lqmt,avxl,wmih,fnma,pphm,azfl,spcl,rbnw,dewm,ipix,amlh,adxs,cctl,bitcf,owcp,icld,inmg,sfor,mmeg,plsb,vpor,gbhl,sigo,siaf,btcs,exad,amrn,erbb,paog,gahc,usrm,,sing,tmxn,ltsn,trtc,tmps,fusz,liga,,dcth
08-17-2017,ottv,dolv,bvtk,amfe,onci,omvs,drys,nwbo,fnma,azfl,sigo,owcp,pphm,avxl,amlh,ipix,icnb,dewm,tmxn,siaf,cctl,usrm,lqmt,btcs,adxs,dcth,sfor,spcl,vpor,wmih,gahc,plsb,inmg,rbnw,paog,icld,erbb,bitcf,,mmeg,amrn,digaf,fnhi,sing,dglt,exad,nsav,pmcb,digx,fusz
08-18-2017,ottv,onci,dolv,omvs,bvtk,amfe,gahc,nwbo,dcth,sigo,pphm,icnb,azfl,avxl,fnma,drys,wmih,coho,tmxn,dewm,cctl,inmg,amlh,owcp,vpor,stbv,siaf,adxs,,mmeg,btcs,ipix,bitcf,lqmt,usrm,nsav,paog,gbhl,icld,plsb,spcl,amrn,lgbs,fusz,pntv,sfor,erbb,gigl,rbnw,digaf
08-21-2017,ottv,sigo,bvtk,dolv,vdrm,onci,omvs,azfl,avxl,amfe,wmih,adtm,nwbo,owcp,dewm,fnma,pphm,mmex,dcth,cctl,amlh,icnb,lqmt,siaf,btcs,adxs,ipix,fern,drys,gahc,gegi,mydx,paog,tmxn,aryc,tmps,bldv,usrm,plsb,inmg,srsr,mmeg,,,vpor,icld,sfor,digx,lwlg,erbb
08-22-2017,ottv,sigo,bvtk,omvs,onci,vdrm,dolv,amfe,azfl,avxl,wmih,adtm,nwbo,owcp,dewm,mmex,pphm,fnma,dcth,icnb,lqmt,cctl,amlh,adxs,btcs,kosk,gahc,siaf,tmps,ipix,mydx,drys,bldv,fern,usrm,aryc,inmg,tmxn,paog,srsr,plsb,gegi,mmeg,digx,vpor,sfor,lwlg,gigl,icld,
08-23-2017,ottv,dolv,bvtk,sigo,amfe,soupq,azfl,rmrk,icnb,onci,nwbo,avxl,vdrm,omvs,lqmt,wmih,fnma,ipix,owcp,vpor,mmeg,tmps,dcth,icld,amlh,inmg,pphm,mmex,sfor,dewm,adtm,fern,drys,gahc,erbb,adxs,btcs,fnhi,,amrn,siaf,gigl,kblb,cctl,,biel,plsb,ecos,aryc,btgi
08-24-2017,rmrk,ottv,bvtk,avxl,dolv,sigo,onci,azfl,icnb,amfe,nwbo,mmex,soupq,omvs,wmih,inmg,icld,ecos,ipix,lqmt,fnma,pphm,vdrm,sfor,vpor,amlh,owcp,dewm,drys,paog,gahc,frzt,tmxn,mmeg,nsav,eltp,aryc,lgbs,lwlg,fnhi,amrn,tmps,cctl,,,usrm,adxs,erbb,plsb,bldv
08-25-2017,rmrk,ottv,dolv,onci,bvtk,bitcf,amfe,sigo,nwbo,avxl,omvs,inmg,icnb,tggi,skyf,fnma,soupq,azfl,wmih,gegi,pphm,gahc,lqmt,vpor,icld,owcp,mmex,nsav,ipix,sfor,amlh,siaf,dewm,adxs,lgbs,ecos,drys,fern,ungs,amrn,frzt,paog,pgus,snmn,vdrm,,mgti,lwlg,cctl,potn
08-28-2017,dolv,ottv,bvtk,omvs,rmrk,onci,soupq,nwbo,inmg,azfl,amfe,ipix,usrm,avxl,wmih,ecos,knsc,adxs,sigo,bgft,sfor,icnb,dewm,ihsi,eegi,owcp,fnma,lqmt,pphm,mmex,skyf,kosk,vdrm,btcs,fnhi,aphd,amlh,frzt,drys,gahc,tggi,nsav,amrn,mmeg,plsb,siaf,gegi,dcth,ehos,aryc
08-29-2017,dolv,bvtk,rmrk,ottv,soupq,amfe,omvs,usrm,inmg,nwbo,onci,avxl,ipix,azfl,wmih,lqmt,pphm,sfor,sigo,ecos,adxs,lgbs,fnma,dewm,owcp,aphd,knsc,mmex,vdrm,icnb,bgft,btcs,mmeg,skyf,eegi,ihsi,drys,ehos,frzt,fnhi,gahc,mgti,kosk,lwlg,siaf,trtc,,nsav,amrn,dcth
08-30-2017,soupq,bvtk,ottv,rmrk,amfe,dolv,mmex,onci,omvs,drys,nwbo,avxl,inmg,fnma,azfl,wmih,usrm,pphm,aphd,bgft,sigo,lqmt,ipix,sfor,adxs,ihsi,icnb,tggi,owcp,vdrm,dewm,gahc,fusz,mmeg,btcs,mgti,icld,nsav,siaf,ehos,skyf,frzt,ecos,amrn,kblb,trtc,myec,bitcf,amlh,aepp
